"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"experiment"
"05/26/2021 20:29:51:540 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","3","3","3","3","3","12","12","12","12","12","25","25","25","25","25"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"[reporter]","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5","(gini-index-reserve / num-people) / 0.5"
,"0.32787716720540716","0.31644919706397395","0.3282835080874583","0.3200693552727691","0.3332256153311632","0.4338082936777704","0.4315704205475586","0.4317885824866954","0.4196172106824926","0.41415585367641666","0.43184426820475874","0.4674342857142862","0.4074656298600311","0.42135119955067013","0.4252137970353482"
,"0.3306815713829448","0.3274305929174193","0.32898495057494465","0.32716152560401135","0.34326367144833614","0.43923454843209797","0.4319958307275381","0.4411658980726025","0.41620981132075435","0.4155843221862638","0.4332002221605107","0.4629755533276779","0.41634710369307504","0.4336209437215867","0.4372680050540501"
,"0.33048693749145136","0.3336991940126655","0.32608482769374697","0.3311600207915646","0.34454957809662845","0.4425012200202346","0.4199812520924004","0.44904786192989743","0.411454490401502","0.427390823117338","0.44999039385206496","0.47609138361449427","0.42723110914714996","0.44883436724565784","0.44008568269762316"
,"0.34011591461767093","0.34303462852714267","0.32696542815895463","0.3286995695839313","0.34458683270244467","0.4409584340817501","0.4286340103544406","0.4442876743654244","0.42541370264169365","0.4122455928681548","0.45754730859244386","0.4540807864928403","0.4340411269667035","0.4362514268771776","0.44057096578254706"
,"0.3432117386562675","0.3466540836860735","0.32312672897196243","0.33561169221951576","0.34211578911072027","0.4487125933411937","0.43731123580842995","0.44769306763962957","0.4326871972732166","0.4082057202153189","0.45854931071049854","0.46689494163424117","0.44796436073886253","0.4557376903082067","0.4532874477819776"
,"0.34749020245019985","0.3622865795682639","0.3285222491019719","0.33703437126590274","0.3472592541768156","0.4485740408163265","0.41857862038045246","0.44596502531063037","0.44013794735285433","0.41835518745653427","0.45050035786323145","0.4803200230647261","0.44235666429080567","0.472926735027493","0.4474506295136446"
,"0.3465716009781816","0.3658452347874408","0.3399815215822146","0.33760709273268746","0.3485519823494019","0.45721436722273573","0.41285630130976997","0.4513162822562229","0.4408556635057308","0.41580606663351566","0.4445543492144591","0.4872991090369114","0.4524545327168282","0.4762767662053895","0.4649323152581857"
,"0.3492897892726306","0.36698389468285236","0.3404439876670093","0.34351838655462197","0.3482211382113821","0.44836785978249377","0.417145046524357","0.4591862959842741","0.4464265489769016","0.41115616702872343","0.4637810767760434","0.48199518470110764","0.4490748851040821","0.4728668511030718","0.48012708173200114"
,"0.3461474779872314","0.3706398729369517","0.35168775445180056","0.34345387356473545","0.3489988349514564","0.4614022337412496","0.42240685632662767","0.4693184973008704","0.45583805856959536","0.4212250624182615","0.4534684985765566","0.4781458670988653","0.43919895219384414","0.4767674197557947","0.46963134685649494"
,"0.35439061709284675","0.3696641481178953","0.35707203344789723","0.35154885435870425","0.35270255173289344","0.4539729417933927","0.4202092658257281","0.4618928076718169","0.45546002501990224","0.41834643848288644","0.45615593261570286","0.4821021640322909","0.46395039458850046","0.48045478185495527","0.48195648107737366"
